Date2,Date,Habitat,Site,N,E,S,O,N,E,S,O,Canopy_Openness
6-Sep-17,2017/09/06,Tabonuco,Tabonuco Odum,3,8,10,18,3.1,8.3,10.4,18.7,10.14
6-Sep-17,2017/09/06,Tabonuco,Tabonuco Tubos,7,7,9,8,7.3,7.3,9.4,8.3,8.06
6-Sep-17,2017/09/06,Tabonuco,Tabonuco Walworfh,7,3,14,9,7.3,3.1,14.6,9.4,8.58
6-Sep-17,2017/09/06,Tabonuco,,2,5,20,6,2.1,5.2,20.8,6.2,8.58
6-Sep-17,2017/09/06,Tabonuco,,6,8,6,17,6.2,8.3,6.2,17.7,9.62
6-Sep-17,2017/09/06,Palm,Palma Sonadora,7,9,6,6,7.3,9.4,6.2,6.2,7.28
6-Sep-17,2017/09/06,Palm,,5,9,5,5,5.2,9.4,5.2,5.2,6.24
6-Sep-17,2017/09/06,Palm,,8,11,12,10,8.3,11.4,12.5,10.4,10.66
6-Sep-17,2017/09/06,Palm,Palma Wendy,6,3,9,5,6.2,3.1,9.4,5.2,5.98
6-Sep-17,2017/09/06,Palm,,5,6,11,9,5.2,6.2,11.4,9.4,8.06
6-Sep-17,2017/09/06,Palm,,3,8,7,8,3.1,8.3,7.3,8.3,6.76
6-Sep-17,2017/09/06,Palm,Palma Estacion,8,9,15,16,8.3,9.4,15.6,16.6,12.48
6-Sep-17,2017/09/06,Palm,,5,11,10,16,5.2,11.4,10.4,16.6,10.92
6-Sep-17,2017/09/06,Palm,,8,9,13,6,8.3,9.4,13.5,6.2,9.36
10-Sep-17,2017/09/10,Tabonuco,Tabonuco Odum,25,23,14,19,26,23.9,14.6,19.8,21.1
10-Sep-17,2017/09/10,Tabonuco,,4,18,16,22,4.2,18.7,16.6,22.9,15.6
10-Sep-17,2017/09/10,Tabonuco,,7,15,11,10,7.3,15.6,11.4,10.4,11.2
10-Sep-17,2017/09/10,Tabonuco,Tabonuco Tubos,12,15,48,17,12.5,15.6,49.9,17.7,23.9
10-Sep-17,2017/09/10,Tabonuco,,7,33,29,32,7.3,34.3,30.2,33.3,26.3
10-Sep-17,2017/09/10,Tabonuco,,9,17,22,17,9.4,17.7,22.9,17.7,16.9
10-Sep-17,2017/09/10,Tabonuco,Tabonuco Walworfh,9,15,21,5,9.4,15.6,21.8,5.2,13
10-Sep-17,2017/09/10,Tabonuco,,6,22,29,4,6.2,22.9,30.2,4.2,15.86
10-Sep-17,2017/09/10,Tabonuco,,7,20,11,11,7.3,20.8,11.4,11.4,12.74
10-Sep-17,2017/09/10,Palm,Palma Sonadora,8,11,22,19,8.3,11.4,22.9,19.8,15.6
10-Sep-17,2017/09/10,Palm,,22,14,22,16,22.9,14.6,22.9,16.6,19.24
10-Sep-17,2017/09/10,Palm,,10,25,17,12,10.4,26,17.7,12.5,16.64
10-Sep-17,2017/09/10,Palm,Palma Wendy,6,25,15,10,6.2,26,15.6,10.4,14.56
10-Sep-17,2017/09/10,Palm,,3,7,21,6,3.1,7.3,21.8,6.2,9.62
10-Sep-17,2017/09/10,Palm,,7,21,7,12,7.3,21.8,7.3,12.5,12.22
10-Sep-17,2017/09/10,Palm,Palma Estacion,15,12,16,17,15.6,12.5,16.6,17.7,15.6
10-Sep-17,2017/09/10,Palm,,10,24,11,16,10.4,25,11.4,16.6,15.86
10-Sep-17,2017/09/10,Palm,,16,23,20,12,16.6,23.9,20.8,12.5,18.46
4-Oct-17,2017/10/04,Tabonuco,Tabonuco Odum,73,87,74,76,75.9,90.5,77,79,80.6
4-Oct-17,2017/10/04,Tabonuco,,64,84,86,92,66.6,87.4,89.4,95.7,84.8
4-Oct-17,2017/10/04,Tabonuco,,79,89,84,74,82.2,92.6,87.4,77,84.8
4-Oct-17,2017/10/04,Tabonuco,Tabonuco Tubos,77,87,72,71,80.1,90.5,74.9,73.8,79.8
4-Oct-17,2017/10/04,Tabonuco,,81,57,89,88,84.2,59.3,92.6,91.5,81.9
4-Oct-17,2017/10/04,Tabonuco,,75,89,80,84,78,92.6,83.2,87.4,85.3
4-Oct-17,2017/10/04,Tabonuco,Tabonuco Walworfh,74,80,85,76,77,83.2,88.4,79,81.9
4-Oct-17,2017/10/04,Tabonuco,,76,76,82,87,79,79,85.3,90.5,83.46
4-Oct-17,2017/10/04,Tabonuco,,80,80,80,86,83.2,83.2,83.2,89.4,84.76
4-Oct-17,2017/10/04,Palm,Palma Sonadora,44,59,59,69,45.8,61.4,61.4,71.8,60.06
4-Oct-17,2017/10/04,Palm,,68,51,68,59,70.7,53,70.7,61.4,63.96
4-Oct-17,2017/10/04,Palm,,65,69,91,73,67.6,71.8,94.6,75.9,77.48
4-Oct-17,2017/10/04,Palm,Palma Wendy,66,76,77,67,68.6,79,80.1,69.7,74.36
4-Oct-17,2017/10/04,Palm,,81,69,76,67,84.2,71.8,79,69.7,76.18
4-Oct-17,2017/10/04,Palm,,74,81,76,65,77,84.2,79,67.6,76.96
4-Oct-17,2017/10/04,Palm,Palma Estacion,86,90,89,79,89.4,93.6,92.6,82.2,89.44
4-Oct-17,2017/10/04,Palm,,79,87,83,84,82.2,90.5,86.3,87.4,86.58
4-Oct-17,2017/10/04,Palm,,90,81,80,70,93.6,84.2,83.2,72.8,83.46
30-Nov-17,2017/11/30,Tabonuco,Tabonuco Odum,51,59,55,55,53,61.4,57.2,57.2,57.2
30-Nov-17,2017/11/30,Tabonuco,,41,49,62,67,42.6,51,64.5,69.7,56.9
30-Nov-17,2017/11/30,Tabonuco,,55,57,56,62,57.2,59.3,58.2,64.5,59.8
30-Nov-17,2017/11/30,Tabonuco,Tabonuco Tubos,32,56,54,58,33.3,58.2,56.2,60.3,52
30-Nov-17,2017/11/30,Tabonuco,,56,33,56,57,58.2,34.3,58.2,59.3,52.5
30-Nov-17,2017/11/30,Tabonuco,,59,55,52,64,61.4,57.2,54.1,66.6,59.8
30-Nov-17,2017/11/30,Tabonuco,Tabonuco Walworfh,58,39,52,56,60.3,40.6,54.1,58.2,53.3
30-Nov-17,2017/11/30,Tabonuco,,49,52,50,57,51,54.1,52,59.3,54.08
30-Nov-17,2017/11/30,Tabonuco,,41,43,49,45,42.6,44.7,51,46.8,46.28
30-Nov-17,2017/11/30,Palm,Palma Sonadora,36,48,45,67,37.4,49.9,46.8,69.7,50.96
30-Nov-17,2017/11/30,Palm,,49,42,50,41,51,43.7,52,42.6,47.32
30-Nov-17,2017/11/30,Palm,,52,32,89,61,54.1,33.3,92.6,63.4,60.84
30-Nov-17,2017/11/30,Palm,Palma Wendy,47,50,53,58,48.9,52,55.1,60.3,54.08
30-Nov-17,2017/11/30,Palm,,54,59,67,59,56.2,61.4,69.7,61.4,62.14
30-Nov-17,2017/11/30,Palm,,57,58,59,65,59.3,60.3,61.4,67.6,62.14
30-Nov-17,2017/11/30,Palm,Palma Estacion,71,52,67,40,73.8,54.1,69.7,41.6,59.8
30-Nov-17,2017/11/30,Palm,,61,63,54,59,63.4,65.5,56.2,61.4,61.62
30-Nov-17,2017/11/30,Palm,,62,54,55,62,64.5,56.2,57.2,64.5,60.58
25-Jan-18,2018/01/25,Tabonuco,Tabonuco Odum,45,56,39,49,46.8,58.2,40.6,51,49.1
25-Jan-18,2018/01/25,Tabonuco,,30,48,59,63,31.2,49.9,61.4,65.5,52
25-Jan-18,2018/01/25,Tabonuco,,51,61,54,63,53,63.4,56.2,65.5,59.5
25-Jan-18,2018/01/25,Tabonuco,Tabonuco Tubos,31,34,46,44,32.2,35.4,47.8,45.8,40.3
25-Jan-18,2018/01/25,Tabonuco,,53,31,47,45,55.1,32.2,48.9,46.8,45.8
25-Jan-18,2018/01/25,Tabonuco,,62,64,49,40,64.5,66.6,51,41.6,55.9
25-Jan-18,2018/01/25,Tabonuco,Tabonuco Walworfh,40,51,46,56,41.6,53,47.8,58.2,50.2
25-Jan-18,2018/01/25,Tabonuco,,40,45,60,45,41.6,46.8,62.4,46.8,49.4
25-Jan-18,2018/01/25,Tabonuco,,33,44,48,59,34.3,45.8,49.9,61.4,47.8
25-Jan-18,2018/01/25,Palm,Palma Sonadora,32,43,37,51,33.3,44.7,38.5,53,42.38
25-Jan-18,2018/01/25,Palm,,45,32,38,31,46.8,33.3,39.5,32.2,37.96
25-Jan-18,2018/01/25,Palm,,42,39,23,91,43.7,40.6,23.9,94.6,50.7
25-Jan-18,2018/01/25,Palm,Palma Wendy,48,43,52,43,49.9,44.7,54.1,44.7,48.36
25-Jan-18,2018/01/25,Palm,,37,39,40,44,38.5,40.6,41.6,45.8,41.6
25-Jan-18,2018/01/25,Palm,,44,42,65,47,45.8,43.7,67.6,48.9,51.48
25-Jan-18,2018/01/25,Palm,Palma Estacion,52,39,56,45,54.1,40.6,58.2,46.8,49.92
25-Jan-18,2018/01/25,Palm,,31,55,46,53,32.2,57.2,47.8,55.1,48.1
25-Jan-18,2018/01/25,Palm,,52,45,57,68,54.1,46.8,59.3,70.7,57.72
28-Feb-18,2018/02/28,Tabonuco,Tabonuco Odum,31,45,29,44,32.2,46.8,30.2,45.8,38.7
28-Feb-18,2018/02/28,Tabonuco,,33,39,52,61,34.3,40.6,54.1,63.4,48.1
28-Feb-18,2018/02/28,Tabonuco,,38,59,41,49,39.5,61.4,42.6,51,48.6
28-Feb-18,2018/02/28,Tabonuco,Tabonuco Tubos,36,39,49,37,37.4,40.6,51,38.5,41.9
28-Feb-18,2018/02/28,Tabonuco,,43,69,40,37,44.7,71.8,41.6,38.5,49.1
28-Feb-18,2018/02/28,Tabonuco,,46,49,47,39,47.8,51,48.9,40.6,47.1
28-Feb-18,2018/02/28,Tabonuco,Tabonuco Walworfh,35,40,42,48,36.4,41.6,43.7,49.9,42.9
28-Feb-18,2018/02/28,Tabonuco,,40,38,55,46,41.6,39.5,57.2,47.8,46.5
28-Feb-18,2018/02/28,Tabonuco,,29,34,71,42,30.2,35.4,73.8,43.7,45.8
28-Feb-18,2018/02/28,Palm,Palma Sonadora,39,29,38,60,40.6,30.2,39.5,62.4,43.16
28-Feb-18,2018/02/28,Palm,,41,41,32,30,42.6,42.6,33.3,31.2,37.44
28-Feb-18,2018/02/28,Palm,,41,23,54,85,42.6,23.9,56.2,88.4,52.78
28-Feb-18,2018/02/28,Palm,Palma Wendy,42,44,31,48,43.7,45.8,32.2,49.9,42.9
28-Feb-18,2018/02/28,Palm,,33,52,49,32,34.3,54.1,51,33.3,43.16
28-Feb-18,2018/02/28,Palm,,43,32,35,48,44.7,33.3,36.4,49.9,41.08
28-Feb-18,2018/02/28,Palm,Palma Estacion,56,33,61,26,58.2,34.3,63.4,27,45.76
28-Feb-18,2018/02/28,Palm,,53,59,58,52,55.1,61.4,60.3,54.1,57.72
28-Feb-18,2018/02/28,Palm,,47,43,49,66,48.9,44.7,51,68.6,53.3
3-Apr-18,2018/04/03,Tabonuco,Tabonuco Odum,30,52,40,52,31.2,54.1,41.6,54.1,45.2
3-Apr-18,2018/04/03,Tabonuco,,29,48,54,66,30.2,49.9,56.2,68.6,51.2
3-Apr-18,2018/04/03,Tabonuco,,42,63,56,51,43.7,65.5,58.2,53,55.1
3-Apr-18,2018/04/03,Tabonuco,Tabonuco Tubos,35,18,41,43,36.4,18.7,42.6,44.7,35.6
3-Apr-18,2018/04/03,Tabonuco,,39,42,42,61,40.6,43.7,43.7,63.4,47.8
3-Apr-18,2018/04/03,Tabonuco,,66,59,45,40,68.6,61.4,46.8,41.6,54.6
3-Apr-18,2018/04/03,Tabonuco,Tabonuco Walworfh,23,36,35,38,23.9,37.4,36.4,39.5,34.3
3-Apr-18,2018/04/03,Tabonuco,,24,36,52,38,25,37.4,54.1,39.5,39
3-Apr-18,2018/04/03,Tabonuco,,35,38,56,44,36.4,39.5,58.2,45.8,45
3-Apr-18,2018/04/03,Palm,Palma Sonadora,31,20,32,52,32.2,20.8,33.3,54.1,35.1
3-Apr-18,2018/04/03,Palm,,40,34,33,24,41.6,35.4,34.3,25,34.06
3-Apr-18,2018/04/03,Palm,,35,23,52,86,36.4,23.9,54.1,89.4,50.96
3-Apr-18,2018/04/03,Palm,Palma Wendy,33,38,34,52,34.3,39.5,35.4,54.1,40.82
3-Apr-18,2018/04/03,Palm,,31,28,32,38,32.2,29.1,33.3,39.5,33.54
3-Apr-18,2018/04/03,Palm,,35,36,57,48,36.4,37.4,59.3,49.9,45.76
3-Apr-18,2018/04/03,Palm,Palma Estacion,52,29,54,27,54.1,30.2,56.2,28.1,42.12
3-Apr-18,2018/04/03,Palm,,48,52,54,45,49.9,54.1,56.2,46.8,51.74
3-Apr-18,2018/04/03,Palm,,43,45,52,51,44.7,46.8,54.1,53,49.66
15-Aug-18,2018/08/15,Tabonuco,Tabonuco Odum,19,40,22,33,19.8,41.6,22.9,34.3,29.6
15-Aug-18,2018/08/15,Tabonuco,,18,19,24,20,18.7,19.8,25,20.8,21.1
