ID,Habitat,Period,Richness,Abundance,Dominance
T1pre,Tabonuco,Pre-Hurricane,68,321,0.118380062
T1post,Tabonuco,Post-Hurricane,86,707,0.161244696
T2pre,Tabonuco,Pre-Hurricane,78,508,0.127952756
T2post,Tabonuco,Post-Hurricane,76,685,0.169343066
T3pre,Tabonuco,Pre-Hurricane,80,391,0.094629156
T3post,Tabonuco,Post-Hurricane,93,793,0.192938209
P1pre,Palm,Pre-Hurricane,82,544,0.121323529
P1post,Palm,Post-Hurricane,58,391,0.181585678
P2pre,Palm,Pre-Hurricane,85,347,0.097982709
P2post,Palm,Post-Hurricane,66,426,0.194835681
P3pre,Palm,Pre-Hurricane,87,484,0.216942149
P3post,Palm,Post-Hurricane,67,388,0.24742268
