TimeCode,Date2,Date,Habitat,Richness,Abundance
PApr17,29-Apr-17,2017/04/29,Palm,53,218
TApr17,29-Apr-17,2017/04/29,Tabonuco,51,195
PMay17,27-May-17,2017/05/27,Palm,73,366
TMay17,27-May-17,2017/05/27,Tabonuco,56,269
PJun17,24-Jun-17,2017/06/24,Palm,63,306
TJun17,24-Jun-17,2017/06/24,Tabonuco,65,279
PJul17,23-Jul-17,2017/07/23,Palm,58,227
TJul17,23-Jul-17,2017/07/23,Tabonuco,53,274
PAug17,22-Aug-17,2017/08/22,Palm,52,258
TAug17,22-Aug-17,2017/08/22,Tabonuco,53,203
PSep17,20-Sep-17,2017/09/20,Palm,NA,NA
TSep17,20-Sep-17,2017/09/20,Tabonuco,NA,NA
POct17,21-Oct-17,2017/10/21,Palm,24,367
TOct17,21-Oct-17,2017/10/21,Tabonuco,25,472
PNov17,18-Nov-17,2017/11/18,Palm,32,120
TNov17,18-Nov-17,2017/11/18,Tabonuco,51,248
PDec17,17-Dec-17,2017/12/17,Palm,34,124
TDec17,17-Dec-17,2017/12/17,Tabonuco,38,122
PJan18,21-Jan-18,2018/01/18,Palm,46,191
TJan18,21-Jan-18,2018/01/18,Tabonuco,58,336
PFeb18,17-Feb-18,2018/02/17,Palm,41,102
TFeb18,17-Feb-18,2018/02/17,Tabonuco,57,251
PMar18,17-Mar-18,2018/03/17,Palm,60,301
TMar18,17-Mar-18,2018/03/17,Tabonuco,77,756
